Entreprise,Profil,Experience,Niveau_Etude,Technologie,Salaire
HP Maroc,Data Scientist / IA,12,Bac+3,TensorFlow,11000
Deloitte Digital Maroc,DevOps Engineer,7,Master,GitLab CI/CD,17000
Dell Technologies Maroc,Data Scientist / IA,3,Master,Scikit-learn,14000
Sopra Steria Maroc,Data Scientist / IA,2,Ingénieur,Python,16000
Dell Technologies Maroc,Chef de Projet IT,7,Master,MS Project,12000
Accenture Maroc,Ingénieur Réseau,13,Bac+3,Palo Alto,12000
Capgemini Maroc,Data Scientist / IA,14,Master,Scikit-learn,20000
Orange Business Services Maroc,Développeur Full Stack,0,Ingénieur,Vue.js,13000
Lenovo Maroc,Cloud Engineer,7,Master,Google Cloud,11000
Sopra Steria Maroc,Architecte Solutions,8,Ingénieur,Microservices,16000
Deloitte Digital Maroc,Chef de Projet IT,13,Master,PMI,16000
Microsoft Maroc,Data Scientist / IA,5,Master,R,21000
Tata Consultancy Services Maroc,Développeur Full Stack,9,Ingénieur,Java Spring,14000
Cisco Maroc,DevOps Engineer,9,Master,GitLab CI/CD,13000
SAP Maroc,Ingénieur Réseau,0,Bac+2,Fortinet,7000
IBM Maroc,Data Scientist / IA,6,Master,PyTorch,23000
HP Maroc,Développeur Mobile,3,Ingénieur,Xamarin,11000
PWC Digital Maroc,Développeur Full Stack,10,Master,Python Django,16000
Oracle Maroc,Cloud Engineer,0,Master,Azure,15000
Tata Consultancy Services Maroc,DevOps Engineer,8,Ingénieur,AWS,13000
Deloitte Digital Maroc,Cloud Engineer,11,Bac+3,OpenStack,14000
Sopra Steria Maroc,Développeur Full Stack,1,Master,Vue.js,11000
Lenovo Maroc,Chef de Projet IT,10,Bac+3,Agile,9000
Oracle Maroc,Chef de Projet IT,2,Master,Scrum,16000
Sopra Steria Maroc,Cloud Engineer,4,Ingénieur,Azure,17000
IBM Maroc,Développeur Mobile,9,Doctorat,Xamarin,19000
HP Maroc,Ingénieur Cybersécurité,14,Doctorat,Security+,20000
Atos Maroc,Business Intelligence,13,Ingénieur,QlikView,14000
IBM Maroc,Business Intelligence,12,Master,Talend,20000
CGI Maroc,Cloud Engineer,11,Master,Docker,14000
Atos Maroc,Cloud Engineer,12,Master,Kubernetes,15000
KPMG Technology Maroc,Développeur Mobile,14,Doctorat,Swift,18000
Cisco Maroc,Développeur Full Stack,3,Master,.NET Core,12000
Tata Consultancy Services Maroc,Chef de Projet IT,1,Bac+3,Prince2,6000
PWC Digital Maroc,Chef de Projet IT,10,Ingénieur,Scrum,19000
Accenture Maroc,Développeur Mobile,10,Ingénieur,Xamarin,20000
PWC Digital Maroc,Cloud Engineer,9,Ingénieur,Google Cloud,21000
Dell Technologies Maroc,Business Intelligence,9,Ingénieur,Tableau,16000
SAP Maroc,Business Intelligence,4,Master,Tableau,14000
EY Digital Maroc,Architecte Solutions,9,Ingénieur,Enterprise Architecture,19000
Deloitte Digital Maroc,Ingénieur Cybersécurité,9,Ingénieur,Pentest,23000
Accenture Maroc,DevOps Engineer,8,Ingénieur,Kubernetes,18000
HP Maroc,Ingénieur Réseau,8,Ingénieur,Palo Alto,12000
Orange Business Services Maroc,Ingénieur Réseau,5,Ingénieur,Cisco,11000
IBM Maroc,Business Intelligence,3,Bac+3,Tableau,11000
IBM Maroc,Ingénieur Réseau,3,Ingénieur,Fortinet,16000
Lenovo Maroc,Architecte Solutions,13,Ingénieur,UML,17000
Microsoft Maroc,Ingénieur Réseau,5,Ingénieur,CCNA,20000
PWC Digital Maroc,Ingénieur Réseau,9,Ingénieur,Palo Alto,15000
Cisco Maroc,Développeur Mobile,0,Bac+2,Flutter,5000
Oracle Maroc,DevOps Engineer,3,Master,GitLab CI/CD,17000
Dell Technologies Maroc,Business Intelligence,4,Ingénieur,Talend,14000
Deloitte Digital Maroc,Développeur Full Stack,15,Ingénieur,.NET Core,25000
Huawei Maroc,Chef de Projet IT,10,Ingénieur,Scrum,15000
Cisco Maroc,Business Intelligence,7,Master,SAP BO,13000
Microsoft Maroc,Ingénieur Réseau,13,Ingénieur,CCNP,23000
Capgemini Maroc,Data Scientist / IA,8,Doctorat,TensorFlow,20000
Orange Business Services Maroc,Développeur Mobile,2,Bac+3,Kotlin,6000
Huawei Maroc,Cloud Engineer,12,Bac+3,Kubernetes,9000
CGI Maroc,DevOps Engineer,10,Bac+3,Docker,11000
Dell Technologies Maroc,Développeur Full Stack,8,Master,Python Django,13000
Dell Technologies Maroc,Ingénieur Réseau,9,Master,Fortinet,13000
IBM Maroc,Ingénieur Cybersécurité,14,Ingénieur,Ethical Hacking,29000
Orange Business Services Maroc,Business Intelligence,14,Bac+3,SAP BO,9000
HP Maroc,Data Scientist / IA,9,Doctorat,R,21000
EY Digital Maroc,Développeur Full Stack,3,Ingénieur,React,17000
Atos Maroc,Développeur Full Stack,12,Master,Vue.js,15000
Lenovo Maroc,Ingénieur Cybersécurité,6,Ingénieur,SIEM,16000
Lenovo Maroc,Business Intelligence,13,Master,Talend,11000
Accenture Maroc,Cloud Engineer,11,Ingénieur,Kubernetes,24000
Orange Business Services Maroc,Développeur Mobile,2,Bac+3,Flutter,6000
Cisco Maroc,Développeur Mobile,2,Master,Android Studio,11000
Accenture Maroc,DevOps Engineer,9,Ingénieur,Kubernetes,22000
Deloitte Digital Maroc,Ingénieur Réseau,8,Master,CCNP,14000
SAP Maroc,Architecte Solutions,6,Ingénieur,Enterprise Architecture,23000
CGI Maroc,Ingénieur Réseau,2,Bac+3,Palo Alto,6000
IBM Maroc,Chef de Projet IT,14,Master,Prince2,20000
EY Digital Maroc,Chef de Projet IT,4,Ingénieur,JIRA,15000
Microsoft Maroc,Cloud Engineer,1,Bac+3,AWS,13000
Oracle Maroc,Ingénieur Réseau,0,Master,CCNP,12000
Atos Maroc,Ingénieur Cybersécurité,15,Doctorat,Firewall,21000
Accenture Maroc,Business Intelligence,4,Bac+3,Talend,10000
SAP Maroc,Data Scientist / IA,14,Ingénieur,Scikit-learn,31000
Tata Consultancy Services Maroc,DevOps Engineer,9,Ingénieur,GitLab CI/CD,13000
EY Digital Maroc,Business Intelligence,0,Master,SAP BO,10000
Dell Technologies Maroc,DevOps Engineer,0,Bac+3,Kubernetes,8000
Microsoft Maroc,Développeur Full Stack,7,Master,Angular,19000
SAP Maroc,Ingénieur Réseau,1,Ingénieur,SD-WAN,16000
EY Digital Maroc,DevOps Engineer,5,Ingénieur,Jenkins,19000
Accenture Maroc,Développeur Full Stack,2,Master,.NET Core,15000
SAP Maroc,Ingénieur Réseau,2,Master,CCNA,13000
Deloitte Digital Maroc,Ingénieur Réseau,0,Ingénieur,Palo Alto,12000
Cisco Maroc,Développeur Full Stack,0,Ingénieur,Python Django,15000
EY Digital Maroc,Développeur Full Stack,8,Ingénieur,Python Django,18000
Cisco Maroc,Ingénieur Cybersécurité,15,Ingénieur,Firewall,25000
Deloitte Digital Maroc,Développeur Mobile,6,Ingénieur,Ionic,14000
Huawei Maroc,Ingénieur Réseau,3,Ingénieur,Fortinet,9000
Accenture Maroc,Développeur Mobile,0,Ingénieur,Kotlin,15000
Capgemini Maroc,Chef de Projet IT,4,Bac+3,JIRA,9000
Deloitte Digital Maroc,Ingénieur Réseau,8,Master,Juniper,14000
Lenovo Maroc,Ingénieur Réseau,1,Master,CCNA,8000
KPMG Technology Maroc,Business Intelligence,0,Bac+3,Power BI,8000
Oracle Maroc,Ingénieur Réseau,15,Ingénieur,CCNA,21000
Deloitte Digital Maroc,Ingénieur Réseau,1,Bac+3,Fortinet,8000
Oracle Maroc,Data Scientist / IA,3,Master,Tableau,20000
Capgemini Maroc,Cloud Engineer,10,Ingénieur,Docker,19000
Oracle Maroc,Ingénieur Réseau,6,Master,SD-WAN,15000
Lenovo Maroc,Développeur Mobile,13,Master,Kotlin,10000
Huawei Maroc,Développeur Full Stack,3,Ingénieur,.NET Core,13000
Oracle Maroc,Ingénieur Réseau,14,Ingénieur,Fortinet,20000
IBM Maroc,Ingénieur Réseau,3,Bac+2,Juniper,6000
Oracle Maroc,Data Scientist / IA,6,Master,Spark,21000
Accenture Maroc,Développeur Mobile,13,Master,Swift,16000
Deloitte Digital Maroc,Chef de Projet IT,0,Bac+3,Prince2,10000
HP Maroc,Data Scientist / IA,4,Ingénieur,Spark,17000
Lenovo Maroc,Ingénieur Cybersécurité,8,Bac+3,ISO 27001,8000
CGI Maroc,Développeur Mobile,5,Master,Android Studio,11000
Microsoft Maroc,Ingénieur Cybersécurité,3,Ingénieur,CISSP,25000
EY Digital Maroc,Ingénieur Cybersécurité,2,Bac+3,Pentest,9000
Lenovo Maroc,Cloud Engineer,8,Bac+3,Google Cloud,10000
SAP Maroc,Business Intelligence,9,Ingénieur,Tableau,22000
Deloitte Digital Maroc,Data Scientist / IA,2,Master,Spark,16000
Orange Business Services Maroc,Cloud Engineer,0,Ingénieur,Docker,12000
SAP Maroc,DevOps Engineer,9,Master,Kubernetes,20000
Oracle Maroc,Data Scientist / IA,13,Bac+3,Tableau,17000
EY Digital Maroc,Développeur Mobile,8,Doctorat,Swift,18000
Microsoft Maroc,DevOps Engineer,2,Master,Jenkins,19000
Cisco Maroc,Ingénieur Réseau,15,Ingénieur,CCNA,17000
Lenovo Maroc,Data Scientist / IA,1,Ingénieur,Spark,14000
Orange Business Services Maroc,Chef de Projet IT,7,Bac+3,PMI,7000
CGI Maroc,Cloud Engineer,6,Master,Azure,13000
Tata Consultancy Services Maroc,Chef de Projet IT,1,Master,Prince2,10000
SAP Maroc,Business Intelligence,0,Ingénieur,QlikView,18000
IBM Maroc,Data Scientist / IA,1,Bac+3,PyTorch,13000
KPMG Technology Maroc,Business Intelligence,5,Ingénieur,SAP BO,14000
Deloitte Digital Maroc,Architecte Solutions,6,Bac+3,Cloud Architecture,11000
Lenovo Maroc,DevOps Engineer,11,Doctorat,Jenkins,17000
CGI Maroc,Développeur Full Stack,5,Doctorat,.NET Core,17000
Accenture Maroc,DevOps Engineer,10,Doctorat,Docker,25000
HP Maroc,Ingénieur Cybersécurité,8,Bac+3,ISO 27001,10000
EY Digital Maroc,DevOps Engineer,11,Master,Kubernetes,18000
Tata Consultancy Services Maroc,Développeur Full Stack,1,Ingénieur,Java Spring,10000
Microsoft Maroc,Data Scientist / IA,8,Master,PyTorch,26000
HP Maroc,Architecte Solutions,1,Bac+3,API,8000
PWC Digital Maroc,Data Scientist / IA,9,Ingénieur,PyTorch,24000
IBM Maroc,Ingénieur Réseau,4,Ingénieur,SD-WAN,17000
SAP Maroc,Ingénieur Réseau,8,Bac+3,CCNP,11000
Huawei Maroc,Data Scientist / IA,7,Bac+3,Python,10000
Oracle Maroc,Data Scientist / IA,2,Bac+3,R,14000
Lenovo Maroc,Chef de Projet IT,8,Ingénieur,Agile,15000
KPMG Technology Maroc,DevOps Engineer,5,Master,AWS,14000
Huawei Maroc,Data Scientist / IA,2,Master,PyTorch,14000
Deloitte Digital Maroc,Data Scientist / IA,0,Bac+2,Python,8000
CGI Maroc,Ingénieur Cybersécurité,6,Ingénieur,Firewall,17000
Huawei Maroc,Développeur Full Stack,15,Master,Java Spring,15000
Oracle Maroc,Ingénieur Réseau,0,Bac+3,Fortinet,8000
Cisco Maroc,Architecte Solutions,3,Ingénieur,SOA,17000
Tata Consultancy Services Maroc,Chef de Projet IT,2,Bac+2,JIRA,5000
SAP Maroc,Développeur Mobile,5,Ingénieur,Android Studio,18000
Accenture Maroc,Ingénieur Cybersécurité,8,Bac+3,SIEM,13000
Huawei Maroc,Ingénieur Réseau,2,Bac+3,CCNA,6000
EY Digital Maroc,Architecte Solutions,0,Bac+3,SOA,10000
Accenture Maroc,Cloud Engineer,7,Ingénieur,OpenStack,20000
Dell Technologies Maroc,Chef de Projet IT,3,Bac+3,Prince2,9000
Deloitte Digital Maroc,Chef de Projet IT,8,Master,PMI,14000
Dell Technologies Maroc,Cloud Engineer,14,Ingénieur,Google Cloud,19000
Capgemini Maroc,Ingénieur Réseau,8,Master,Fortinet,12000
PWC Digital Maroc,Chef de Projet IT,12,Bac+3,Kanban,13000
Huawei Maroc,Développeur Full Stack,4,Ingénieur,Java Spring,13000
Orange Business Services Maroc,Business Intelligence,3,Bac+2,QlikView,4000
Tata Consultancy Services Maroc,Ingénieur Réseau,12,Bac+3,SD-WAN,6000
Huawei Maroc,Architecte Solutions,4,Master,Cloud Architecture,13000
HP Maroc,Développeur Mobile,8,Ingénieur,React Native,13000
Dell Technologies Maroc,Développeur Mobile,5,Bac+3,Flutter,7000
Microsoft Maroc,Architecte Solutions,0,Bac+3,SOA,13000
Lenovo Maroc,Architecte Solutions,9,Ingénieur,UML,16000
Tata Consultancy Services Maroc,Développeur Mobile,13,Master,Kotlin,9000
Lenovo Maroc,Cloud Engineer,10,Bac+3,Kubernetes,8000
Lenovo Maroc,Ingénieur Réseau,2,Ingénieur,Cisco,10000
Accenture Maroc,Architecte Solutions,7,Ingénieur,UML,24000
Sopra Steria Maroc,Ingénieur Réseau,13,Ingénieur,CCNA,15000
PWC Digital Maroc,Ingénieur Cybersécurité,15,Master,ISO 27001,21000
Accenture Maroc,Chef de Projet IT,8,Master,MS Project,18000
PWC Digital Maroc,Chef de Projet IT,9,Master,JIRA,16000
Atos Maroc,Architecte Solutions,2,Bac+2,Microservices,6000
Orange Business Services Maroc,Cloud Engineer,1,Bac+3,Kubernetes,7000
CGI Maroc,Cloud Engineer,15,Master,Docker,18000
SAP Maroc,Chef de Projet IT,6,Ingénieur,Prince2,21000
PWC Digital Maroc,Data Scientist / IA,9,Ingénieur,Python,23000
Microsoft Maroc,DevOps Engineer,3,Bac+3,Kubernetes,12000
SAP Maroc,Data Scientist / IA,4,Ingénieur,Tableau,24000
Tata Consultancy Services Maroc,Business Intelligence,1,Ingénieur,Talend,10000
Microsoft Maroc,Ingénieur Réseau,2,Master,Juniper,16000
Tata Consultancy Services Maroc,Cloud Engineer,9,Master,Azure,11000
Deloitte Digital Maroc,DevOps Engineer,7,Ingénieur,Jenkins,20000
PWC Digital Maroc,Chef de Projet IT,5,Ingénieur,Kanban,18000
Cisco Maroc,Développeur Full Stack,9,Ingénieur,React,18000
PWC Digital Maroc,Data Scientist / IA,1,Bac+3,R,10000
Huawei Maroc,Data Scientist / IA,14,Ingénieur,PyTorch,22000
Huawei Maroc,Développeur Full Stack,6,Master,React,12000
Capgemini Maroc,Développeur Mobile,15,Ingénieur,Flutter,15000
Deloitte Digital Maroc,Ingénieur Cybersécurité,9,Ingénieur,Security+,25000
Capgemini Maroc,Cloud Engineer,1,Master,Docker,13000
Huawei Maroc,Data Scientist / IA,8,Master,Python,14000
Tata Consultancy Services Maroc,Ingénieur Réseau,3,Master,Cisco,8000
EY Digital Maroc,DevOps Engineer,9,Ingénieur,Terraform,19000
EY Digital Maroc,Business Intelligence,0,Master,QlikView,10000
PWC Digital Maroc,Chef de Projet IT,4,Master,MS Project,13000
Orange Business Services Maroc,Développeur Mobile,0,Bac+3,React Native,5000
IBM Maroc,Architecte Solutions,9,Master,Cloud Architecture,21000
Microsoft Maroc,Ingénieur Réseau,15,Ingénieur,SD-WAN,21000
Lenovo Maroc,Développeur Full Stack,0,Ingénieur,React,11000
SAP Maroc,Chef de Projet IT,7,Master,Kanban,18000
SAP Maroc,Développeur Mobile,11,Doctorat,Swift,20000
CGI Maroc,Business Intelligence,13,Ingénieur,SQL Server,15000
Microsoft Maroc,Ingénieur Réseau,9,Doctorat,Fortinet,21000
Accenture Maroc,Business Intelligence,1,Master,QlikView,11000
Atos Maroc,Cloud Engineer,3,Bac+3,OpenStack,8000
Sopra Steria Maroc,Développeur Mobile,9,Master,Ionic,13000
Accenture Maroc,Business Intelligence,5,Doctorat,Tableau,20000
Lenovo Maroc,Développeur Full Stack,1,Ingénieur,Vue.js,11000
EY Digital Maroc,Développeur Full Stack,10,Ingénieur,Vue.js,19000
Accenture Maroc,Architecte Solutions,2,Bac+3,Enterprise Architecture,11000
IBM Maroc,Développeur Full Stack,9,Ingénieur,Java Spring,21000
Cisco Maroc,Ingénieur Réseau,2,Master,CCNP,9000
Oracle Maroc,Data Scientist / IA,7,Doctorat,Tableau,30000
Atos Maroc,Développeur Mobile,10,Ingénieur,Swift,15000
Microsoft Maroc,Développeur Mobile,4,Doctorat,Ionic,19000
Deloitte Digital Maroc,Développeur Full Stack,6,Ingénieur,Java Spring,17000
Accenture Maroc,Data Scientist / IA,3,Master,Tableau,17000
EY Digital Maroc,Data Scientist / IA,2,Master,Scikit-learn,15000
PWC Digital Maroc,Développeur Mobile,1,Ingénieur,Flutter,13000
Sopra Steria Maroc,Data Scientist / IA,6,Master,PyTorch,17000
HP Maroc,Développeur Mobile,15,Ingénieur,Swift,14000
KPMG Technology Maroc,Cloud Engineer,2,Master,AWS,14000
Microsoft Maroc,Architecte Solutions,14,Master,UML,27000
Tata Consultancy Services Maroc,Développeur Mobile,13,Bac+3,Ionic,6000
Sopra Steria Maroc,Architecte Solutions,1,Ingénieur,System Design,16000
Capgemini Maroc,Ingénieur Réseau,13,Master,CCNA,13000
Orange Business Services Maroc,Cloud Engineer,4,Bac+3,OpenStack,8000
Dell Technologies Maroc,Développeur Mobile,9,Doctorat,Swift,17000
CGI Maroc,Business Intelligence,2,Master,Power BI,10000
Lenovo Maroc,Data Scientist / IA,1,Bac+2,Python,5000
Orange Business Services Maroc,Architecte Solutions,5,Ingénieur,UML,15000
Dell Technologies Maroc,Ingénieur Cybersécurité,7,Ingénieur,Ethical Hacking,19000
Accenture Maroc,Business Intelligence,5,Bac+3,QlikView,9000
SAP Maroc,Ingénieur Réseau,7,Master,Cisco,16000
Huawei Maroc,Ingénieur Cybersécurité,13,Master,Firewall,15000
Orange Business Services Maroc,Développeur Full Stack,5,Master,Vue.js,10000
PWC Digital Maroc,Ingénieur Réseau,9,Ingénieur,Fortinet,17000
IBM Maroc,Ingénieur Cybersécurité,15,Master,Ethical Hacking,25000
CGI Maroc,Ingénieur Cybersécurité,3,Master,Security+,12000
Atos Maroc,Ingénieur Réseau,5,Ingénieur,Fortinet,11000
Tata Consultancy Services Maroc,Développeur Mobile,2,Master,Android Studio,9000
KPMG Technology Maroc,Ingénieur Réseau,9,Ingénieur,Cisco,15000
IBM Maroc,Business Intelligence,4,Master,QlikView,16000
EY Digital Maroc,Architecte Solutions,0,Master,API,14000
Tata Consultancy Services Maroc,Business Intelligence,1,Bac+2,SAP BO,4000
Capgemini Maroc,Ingénieur Réseau,1,Bac+3,Juniper,7000
Tata Consultancy Services Maroc,Ingénieur Réseau,13,Ingénieur,Palo Alto,11000
Dell Technologies Maroc,Chef de Projet IT,3,Master,JIRA,13000
Lenovo Maroc,Chef de Projet IT,2,Master,Kanban,10000
Cisco Maroc,Architecte Solutions,5,Master,Cloud Architecture,13000
SAP Maroc,Cloud Engineer,10,Ingénieur,Google Cloud,24000
KPMG Technology Maroc,Cloud Engineer,3,Ingénieur,OpenStack,18000
Oracle Maroc,Cloud Engineer,0,Bac+3,OpenStack,12000
Deloitte Digital Maroc,DevOps Engineer,2,Ingénieur,Ansible,16000
IBM Maroc,Architecte Solutions,8,Master,Enterprise Architecture,22000
HP Maroc,DevOps Engineer,3,Master,GitLab CI/CD,10000
Oracle Maroc,Développeur Full Stack,14,Ingénieur,Node.js,26000
Dell Technologies Maroc,Cloud Engineer,0,Ingénieur,AWS,15000
HP Maroc,Chef de Projet IT,8,Doctorat,Scrum,15000
Microsoft Maroc,Développeur Full Stack,15,Ingénieur,Angular,32000
SAP Maroc,Développeur Full Stack,0,Ingénieur,Vue.js,17000
KPMG Technology Maroc,Chef de Projet IT,5,Ingénieur,MS Project,16000
IBM Maroc,Développeur Mobile,3,Ingénieur,Xamarin,15000
Atos Maroc,Cloud Engineer,5,Bac+3,Terraform,9000
Orange Business Services Maroc,Business Intelligence,4,Master,Power BI,9000
Oracle Maroc,Ingénieur Réseau,1,Bac+2,CCNP,6000
Cisco Maroc,Développeur Mobile,0,Bac+3,Swift,7000
Sopra Steria Maroc,Data Scientist / IA,5,Master,R,17000
SAP Maroc,Data Scientist / IA,9,Master,TensorFlow,21000
Oracle Maroc,Ingénieur Réseau,2,Bac+3,Fortinet,10000
KPMG Technology Maroc,DevOps Engineer,10,Ingénieur,AWS,21000
PWC Digital Maroc,Ingénieur Réseau,6,Bac+3,Fortinet,8000
KPMG Technology Maroc,Chef de Projet IT,1,Bac+3,Kanban,9000
IBM Maroc,DevOps Engineer,9,Bac+3,Terraform,13000
Sopra Steria Maroc,Ingénieur Réseau,3,Master,Cisco,10000
SAP Maroc,Développeur Full Stack,4,Ingénieur,Java Spring,18000
Huawei Maroc,Développeur Mobile,10,Doctorat,React Native,16000
Deloitte Digital Maroc,Développeur Full Stack,1,Ingénieur,.NET Core,17000
Huawei Maroc,Développeur Mobile,15,Ingénieur,Kotlin,14000
KPMG Technology Maroc,Ingénieur Cybersécurité,9,Master,SIEM,18000
Oracle Maroc,DevOps Engineer,11,Doctorat,GitLab CI/CD,28000
KPMG Technology Maroc,Business Intelligence,5,Bac+3,QlikView,8000
Dell Technologies Maroc,Data Scientist / IA,3,Ingénieur,Python,16000
Accenture Maroc,Data Scientist / IA,7,Ingénieur,Spark,25000
HP Maroc,Développeur Full Stack,5,Master,.NET Core,13000
Sopra Steria Maroc,Ingénieur Cybersécurité,6,Master,Pentest,15000
EY Digital Maroc,Architecte Solutions,9,Master,API,19000
PWC Digital Maroc,DevOps Engineer,6,Bac+3,Terraform,12000
Microsoft Maroc,Business Intelligence,4,Doctorat,SAP BO,22000
PWC Digital Maroc,Développeur Mobile,9,Master,Kotlin,13000
KPMG Technology Maroc,Ingénieur Réseau,1,Bac+3,Palo Alto,7000
Lenovo Maroc,Développeur Full Stack,7,Ingénieur,Angular,14000
Cisco Maroc,DevOps Engineer,0,Ingénieur,AWS,13000
KPMG Technology Maroc,DevOps Engineer,3,Ingénieur,Terraform,15000
Accenture Maroc,DevOps Engineer,13,Ingénieur,Terraform,21000
Dell Technologies Maroc,Développeur Mobile,0,Bac+3,Flutter,7000
IBM Maroc,Ingénieur Réseau,13,Ingénieur,Juniper,19000
HP Maroc,Chef de Projet IT,2,Bac+3,PMI,8000
SAP Maroc,Cloud Engineer,7,Ingénieur,Terraform,25000
Deloitte Digital Maroc,Développeur Mobile,12,Master,React Native,15000
HP Maroc,Ingénieur Cybersécurité,3,Master,CISSP,12000
Orange Business Services Maroc,Architecte Solutions,12,Ingénieur,Enterprise Architecture,16000
Deloitte Digital Maroc,Ingénieur Réseau,6,Master,Palo Alto,12000
Microsoft Maroc,Chef de Projet IT,14,Ingénieur,Kanban,30000
Sopra Steria Maroc,Développeur Full Stack,5,Bac+3,Angular,8000
PWC Digital Maroc,Ingénieur Réseau,7,Ingénieur,Cisco,13000
KPMG Technology Maroc,Business Intelligence,2,Master,QlikView,10000
Huawei Maroc,Ingénieur Cybersécurité,0,Master,CISSP,11000
PWC Digital Maroc,Cloud Engineer,12,Ingénieur,AWS,22000
Orange Business Services Maroc,Ingénieur Réseau,5,Master,SD-WAN,9000
Sopra Steria Maroc,Data Scientist / IA,7,Ingénieur,Python,20000
Microsoft Maroc,Data Scientist / IA,7,Ingénieur,PyTorch,29000
IBM Maroc,Chef de Projet IT,11,Master,Kanban,20000
EY Digital Maroc,Ingénieur Réseau,0,Master,CCNA,11000
EY Digital Maroc,Développeur Full Stack,2,Bac+2,Angular,7000
Orange Business Services Maroc,Data Scientist / IA,1,Master,Tableau,11000
KPMG Technology Maroc,Développeur Mobile,5,Ingénieur,Xamarin,15000
PWC Digital Maroc,Développeur Mobile,3,Bac+3,React Native,8000
Tata Consultancy Services Maroc,Architecte Solutions,6,Bac+3,Cloud Architecture,9000
Lenovo Maroc,Ingénieur Réseau,3,Master,Palo Alto,8000
Orange Business Services Maroc,Data Scientist / IA,9,Ingénieur,Spark,15000
Cisco Maroc,Ingénieur Cybersécurité,5,Ingénieur,Ethical Hacking,17000
Accenture Maroc,Développeur Full Stack,15,Master,Vue.js,18000
Accenture Maroc,Ingénieur Cybersécurité,7,Master,Security+,18000
Accenture Maroc,Architecte Solutions,6,Doctorat,Microservices,22000
Orange Business Services Maroc,Data Scientist / IA,10,Doctorat,TensorFlow,19000
Microsoft Maroc,Business Intelligence,2,Bac+3,SQL Server,10000
Microsoft Maroc,Business Intelligence,2,Bac+3,Power BI,11000
HP Maroc,Ingénieur Réseau,5,Master,Juniper,9000
Orange Business Services Maroc,Développeur Mobile,12,Ingénieur,Swift,13000
Huawei Maroc,Architecte Solutions,2,Master,Enterprise Architecture,11000
Atos Maroc,Ingénieur Cybersécurité,15,Master,Pentest,18000
EY Digital Maroc,DevOps Engineer,2,Ingénieur,GitLab CI/CD,16000
EY Digital Maroc,DevOps Engineer,5,Ingénieur,Terraform,15000
Lenovo Maroc,DevOps Engineer,6,Ingénieur,Docker,15000
Huawei Maroc,Ingénieur Réseau,2,Bac+3,Palo Alto,5000
Huawei Maroc,Business Intelligence,3,Master,Oracle BI,10000
Huawei Maroc,Chef de Projet IT,2,Master,Kanban,10000
Accenture Maroc,Data Scientist / IA,10,Ingénieur,TensorFlow,26000
Sopra Steria Maroc,Architecte Solutions,15,Doctorat,Cloud Architecture,26000
Huawei Maroc,Data Scientist / IA,2,Bac+3,Spark,9000
EY Digital Maroc,Architecte Solutions,2,Bac+3,SOA,11000
PWC Digital Maroc,Ingénieur Cybersécurité,0,Bac+3,Ethical Hacking,10000
Accenture Maroc,Data Scientist / IA,13,Master,PyTorch,22000
Dell Technologies Maroc,Chef de Projet IT,7,Bac+3,Prince2,10000
Atos Maroc,Data Scientist / IA,0,Bac+2,PyTorch,7000
Microsoft Maroc,DevOps Engineer,5,Master,GitLab CI/CD,21000
HP Maroc,Business Intelligence,8,Ingénieur,SQL Server,13000
